File #,Box,Total,Location,API,Operator,Lease,Well #,Sec,Tw,TwD,Rg,RgD,Quarter,Latitude,Longitude,County,State,Formation,Field,Top,Bottom,Type,Box Type,Condition,Diameter,Restrictions,Comments,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
2913,,,,35081055930000,Magnolia,Davenport,141,2.0,14.0,N,5.0,E,NENW,35.72122,96.74591,Lincoln,OK,Prue,Stroud,3290,3325,Chips ,,,,,CHIPS,,,,,,,
2914,,,,35081047380000,Magnolia,Davenport,144,2.0,14.0,N,5.0,E,NWNE,35.72311,96.7415,Lincoln,OK,Oswego,Stroud,3275,3290,Chips ,,,,, 1 BX TOTL,,,,,,,
2914,,,,35081047380000,Magnolia,Davenport,144,2.0,14.0,N,5.0,E,NWNE,35.72311,96.7415,Lincoln,OK,Prue,Stroud,3290,3374,Chips ,,,,,,,,,,,,
2915,,,,35081047390000,Magnolia,Davenport,146,2.0,14.0,N,5.0,E,NWNE,35.72126,96.73922,Lincoln,OK,Prue,Stroud,3310,3332,Chips ,,,,, 2 BXS TOTL,,,,,,,
2915,,,,35081047390000,Magnolia,Davenport,146,2.0,14.0,N,5.0,E,NWNE,35.72126,96.73922,Lincoln,OK,Prue,Stroud,3341,3378,Chips ,,,,,,,,,,,,
2916,,,,35081055980000,Magnolia,Davenport,149,2.0,14.0,N,5.0,E,NWNW,35.72304,96.74797,Lincoln,OK,Prue,Stroud,3308,3380,Chips ,,,,, 2 BXS TOTL,,,,,,,
2917,,,,35081056170000,Magnolia,Davenport,151,2.0,14.0,N,5.0,E,NENE,35.72119,96.7546,Lincoln,OK,Prue,Stroud,3380,3416,Chips ,,,,, 2 BX TOTL,,,,,,,
2917,,,,35081056170000,Magnolia,Davenport,151,2.0,14.0,N,5.0,E,NENE,35.72119,96.7546,Lincoln,OK,Prue,Stroud,3424,3460,Chips ,,,,,,,,,,,,
2918,,,,35081055990000,Magnolia,Davenport,153,2.0,14.0,N,5.0,E,NESE,35.71574,96.73456,Lincoln,OK,Prue,Stroud,3402,3455,Chips ,,,,, 1 BX TOTL,,,,,,,
2919,,,,35081056000000,Magnolia,Davenport,154,2.0,14.0,N,5.0,E,SESE,35.71216,96.7347,Lincoln,OK,Chappel,Stroud,3406,3419,Chips ,,,,, 1 BX TOTL,,,,,,,
2919,,,,35081056000000,Magnolia,Davenport,154,2.0,14.0,N,5.0,E,SESE,35.71216,96.7347,Lincoln,OK,Prue,Stroud,3419,3444,Chips ,,,,,,,,,,,,
2920,,,,35081056180000,Magnolia,Davenport,155,3.0,14.0,N,5.0,E,SENW,35.71969,96.7613,Lincoln,OK,Prue,Stroud,3407,3461,Chips ,,,,, 1 BX TOTL,,,,,,,
2921,,,,35081056010000,Magnolia,Davenport,156,2.0,14.0,N,5.0,E,NWNE,35.72306,96.73902,Lincoln,OK,Prue,Stroud,3317,3374,Chips ,,,,,  1 BX TOTL,,,,,,,
2922,,,,35081056020000,Magnolia,Davenport,157,2.0,14.0,N,5.0,E,NENE,35.72133,96.737,Lincoln,OK,Prue,Stroud,3332,3391,Chips ,,,,,  1 BX TOTL,,,,,,,
2923,,,,35081060570000,Magnolia,Davenport,166,35.0,15.0,N,5.0,E,SWSW,35.72483,96.75005,Lincoln,OK,Prue,Stroud,3418,3435,Chips ,,,,,  1 BX TOTL,,,,,,,
2924,,,,35081056190000,Magnolia,Davenport,168,3.0,14.0,N,5.0,E,NWNE,35.72302,96.75699,Lincoln,OK,Prue,Stroud,3409,3469,Chips ,,,,,  1 BX TOTL,,,,,,,
2925,,,,35081056210000,Magnolia,Davenport,172,3.0,14.0,N,5.0,E,NENW,35.72135,96.76351,Lincoln,OK,Prue,Stroud,3416,3451,Chips ,,,,, 1 BX TOTL,,,,,,,
2926,,,,35081060490000,Magnolia,Davenport,173,3.0,14.0,N,5.0,E,SESW,35.72499,96.76355,Lincoln,OK,Prue,Stroud,3429,3459,Chips ,,,,, 1 BX TOTL,,,,,,,
2927,,,,35081056370000,Magnolia,Davenport,174,11.0,14.0,N,5.0,E,SENW,35.70483,96.74343,Lincoln,OK,Prue,Stroud,3339,3375,Chips ,,,,, 1 BX TOTL,,,,,,,
2928,,,,35081050690000,Magnolia,Davenport,175,35.0,15.0,N,5.0,E,NESW,35.72667,96.74349,Lincoln,OK,Prue,Stroud,3336,3371,Chips ,,,,, 1 BX TOTL,,,,,,,
2929,,,,35081060580000,Magnolia,Davenport,176,35.0,15.0,N,5.0,E,NESW,35.72844,96.74333,Lincoln,OK,Prue,Stroud,3350,3382,Chips ,,,,, 1 BX TOTL,,,,,,,
2930,,,,35081060590000,Magnolia,Davenport,177,35.0,15.0,N,5.0,E,NESE,35.72846,96.73685,Lincoln,OK,Prue,Stroud,3374,3388,Chips ,,,,, 1 BX TOTL,,,,,,,
2931,,,,35081060600000,Magnolia,Davenport,178,35.0,15.0,N,5.0,E,NWSE,35.73015,96.73903,Lincoln,OK,Prue,Stroud,3411,3437,Chips ,,,,,  1 BX TOTL,,,,,,,
2932,,,,35081058720000,Magnolia,Davenport,179,35.0,15.0,N,5.0,E,SWSE,35.6401,96.73873,Lincoln,OK,Prue,Little Rock Sw,3322,3372,Chips ,,,,,  1 BX TOTL,,,,,,,
2933,,,,35081060610000,Magnolia,Davenport,180,35.0,15.0,N,5.0,E,SWSW,35.72665,96.74795,Lincoln,OK,Prue,Stroud,3357,3389,Chips ,,,,,  1 BX. TOTL,,,,,,,
2934,,,,35081041370000,Magnolia,Davenport,181,35.0,15.0,N,5.0,E,NESW,35.72847,96.76353,Lincoln,OK,Prue,Stroud,3448,3483,Chips ,,,,,  1 BX TOTL,,,,,,,
2937,,,,35039350320000,Mobil,Webb Un,1,23.0,15.0,N,16.0,W,SENW,,,Custer,OK,Hunton,,14200,14272,Chips ,,,,,  1 BX TOTL,,,,,,,
2937,,,,35039350320000,Mobil,Webb Un,1,23.0,15.0,N,16.0,W,SENW,,,Custer,OK,Hunton,,14562,14572,Chips ,,,,,,,,,,,,
2938,,,,35051355320000,Magnolia,Virgil Dougherty,1,1.0,4.0,N,5.0,W,SWNW,34.84982,97.68341,Grady,OK,,Bradley,8700,8747,Chips ,,,,,  1 BX TOTL,,,,,,,
2938,,,,35051355320000,Magnolia,Virgil Dougherty,1,1.0,4.0,N,5.0,W,SWNW,34.84982,97.68341,Grady,OK,,Bradley,8785,8813,Chips ,,,,,,,,,,,,
2938,,,,35051355320000,Magnolia,Virgil Dougherty,1,1.0,4.0,N,5.0,W,SWNW,34.84982,97.68341,Grady,OK,Hart Sd,Bradley,8817,8921,Chips ,,,,,,,,,,,,
2938,,,,35051355320000,Mobil,Virgil Dougherty,1,1.0,4.0,N,5.0,W,SWNW,34.84982,97.68341,Grady,OK,Springer,Bradley,9311,9442,Chips ,,,,,,,,,,,,
2939,,,,35051355290000,Magnolia,Virgil Dougherty,2,1.0,4.0,N,5.0,W,SESW,34.84308,97.67822,Grady,OK,Springer,Bradley Southeast,9193,9218,Chips ,,,,,  1 BX TOTL,,,,,,,
2940,,,,35137089690000,Magnolia,Cook G W,14,30.0,1.0,N,8.0,W,NWSW,34.52702,98.07815,Stephens,OK,,Duncan North,1978,218,Chips ,,,,,,,,,,,,
2950,,,,35079300040000,Mobil,Reed Un,,27.0,7.0,N,23.0,E,NW,35.05459,94.87063,Le Flore,OK,,Red Oak-Norris,7944,8397,Chips ,,,4,,CHIPS # 1-141,,,,,,,
3003,,,,35051003190000,Magnolia,Miller,1,28.0,3.0,N,5.0,W,NE SW,34.71493,97.71552,Grady,OK,,Knox,12,96,Chips ,,,2,,1-96 CHIP PIECES,,,,,,,
3003,,,,35051003190000,Magnolia,Miller,1,28.0,3.0,N,5.0,W,NE SW,34.71493,97.71552,Grady,OK,,Knox,106,187,Chips ,,,2,,CHIP PIECES # 106-187,,,,,,,
3078,,,,35047002530000,Magnolia,Kring Laura,1,12.0,21.0,N,3.0,W,SESW,36.30555,97.47195,Garfield,OK,,Green Valley Se,2312,2326,Chips ,,,3,, 2 BX. TOTL,,,,,,,
3078,,,,35047002530000,Magnolia,Kring Laura,1,12.0,21.0,N,3.0,W,SESW,36.30555,97.47195,Garfield,OK,,Green Valley Se,4280,4285,Chips ,,,3,,,,,,,,,
